race,age_cat,offense_classification,offense_type,offense_subtype,recidivism,priors_count,juv_fel_count,juv_misd_count,juv_other_count,source
White,25 - 45,F,Drug,Trafficking,1,7,0,1,0,iowa
Black,25 - 45,M,Violent,Assault,0,1,0,0,0,compas
White,25 - 45,M,Other,Other Criminal,1,10,0,0,0,iowa
White,Less than 25,F,Drug,Trafficking,1,0,1,0,0,iowa
White,25 - 45,F,Property,Burglary,0,2,0,0,0,iowa
White,Less than 25,M,Public Order,OWI,0,1,0,0,0,iowa
White,Greater than 45,F,Other,Other Criminal,0,3,0,0,0,compas
White,25 - 45,F,Public Order,OWI,0,4,0,0,0,iowa
White,25 - 45,F,Violent,Other Violent,1,0,0,0,4,iowa
White,Greater than 45,M,Property,Theft,0,4,0,0,0,iowa
White,25 - 45,M,Drug,Drug Possession,0,9,0,0,0,iowa
Black,Less than 25,F,Drug,Other Drug,1,1,0,0,1,compas
White,Less than 25,F,Property,Theft,0,0,0,0,0,iowa
Black,25 - 45,M,Other,Other Criminal,0,0,0,0,0,compas
Black,Less than 25,M,Violent,Assault,1,2,0,0,0,compas
White,Less than 25,F,Property,Vandalism,0,1,0,0,0,iowa
White,Greater than 45,F,Drug,Trafficking,0,0,0,0,0,iowa
Black,25 - 45,F,Violent,Robbery,0,2,0,0,0,iowa
White,Less than 25,M,Public Order,Other Public Order,1,1,0,1,1,iowa
Hispanic,Greater than 45,F,Drug,Trafficking,0,0,0,0,0,iowa
Hispanic,25 - 45,F,Drug,Trafficking,0,8,0,0,0,iowa
White,25 - 45,F,Drug,Trafficking,0,4,0,1,0,iowa
White,Less than 25,F,Property,Burglary,0,7,0,2,0,iowa
Black,Greater than 45,M,Violent,Assault,1,5,0,0,0,iowa
Black,25 - 45,F,Drug,Trafficking,0,0,0,0,0,iowa
White,Greater than 45,F,Property,Burglary,0,9,0,0,0,iowa
White,Less than 25,M,Public Order,OWI,0,3,0,1,2,compas
White,25 - 45,F,Property,Burglary,0,0,0,0,0,iowa
White,Greater than 45,F,Violent,Sex,0,0,0,0,0,iowa
Asian,25 - 45,F,Property,Forgery/Fraud,0,0,0,0,0,iowa
White,Less than 25,F,Violent,Assault,0,0,0,0,0,iowa
White,Less than 25,F,Other,Other Violent,0,5,0,0,0,iowa
White,25 - 45,M,Violent,Sex,0,25,0,0,0,iowa
Black,Less than 25,F,Drug,Trafficking,0,6,0,0,0,iowa
Hispanic,Less than 25,F,Drug,Trafficking,0,8,0,0,0,iowa
White,25 - 45,M,Violent,Assault,0,3,0,0,0,iowa
Black,25 - 45,F,Other,Other Criminal,0,0,0,0,0,compas
White,25 - 45,F,Property,Forgery/Fraud,1,6,0,0,1,iowa
White,25 - 45,F,Violent,Sex,0,4,0,0,0,iowa
White,Greater than 45,F,Public Order,Traffic,0,0,0,0,0,compas
Black,25 - 45,F,Public Order,OWI,0,4,0,1,0,iowa
Hispanic,Less than 25,M,Drug,Drug Possession,1,1,0,0,0,compas
White,Less than 25,F,Property,Burglary,1,0,0,0,0,iowa
White,Less than 25,F,Violent,Other Violent,0,0,0,0,0,iowa
Hispanic,Greater than 45,F,Other,Other Criminal,0,2,0,0,0,compas
Black,Greater than 45,M,Violent,Assault,0,1,0,0,0,iowa
Black,Less than 25,F,Property,Burglary,1,0,0,0,0,compas
Black,25 - 45,F,Drug,Trafficking,0,8,0,0,0,iowa
White,Greater than 45,M,Public Order,OWI,0,0,0,0,0,compas
Black,Greater than 45,F,Public Order,OWI,0,1,0,0,0,iowa
Black,25 - 45,F,Drug,Trafficking,1,2,0,0,0,iowa
Black,25 - 45,F,Drug,Trafficking,1,0,0,0,0,iowa
White,25 - 45,F,Property,Theft,0,1,0,0,0,iowa
